Decile,Prob_min,Prob_Max,Total_Event,Total_NonEvent,Event_Rate,NonEvent_Rate,Cum_EventRate,Cum_NonEventRate,KS,algo
D10,0.998971343,0.99999094,975,2,0.131650014,0.000846382,0.131650014,0.000846382,13.1,XGBoost
D9,0.993593752,0.998966813,975,2,0.131650014,0.000846382,0.263300027,0.001692763,26.2,XGBoost
D8,0.983837664,0.993581891,968,9,0.130704834,0.003808718,0.394004861,0.005501481,38.9,XGBoost
D7,0.965287745,0.983820915,954,23,0.128814475,0.00973339,0.522819336,0.015234871,50.8,XGBoost
D6,0.919229567,0.965260863,915,61,0.123548474,0.025814642,0.64636781,0.041049513,60.5,XGBoost
D5,0.823633492,0.91918236,843,134,0.113826627,0.056707575,0.760194437,0.097757088,66.2,XGBoost
D4,0.671906769,0.823598683,725,252,0.0978936,0.106644096,0.858088037,0.204401185,65.4,XGBoost
D3,0.500721335,0.671095431,580,397,0.07831488,0.168006771,0.936402917,0.372407956,56.4,XGBoost
D2,0.266892314,0.50070864,393,584,0.053065082,0.247143462,0.989467999,0.619551418,37,XGBoost
D1,0.000137384,0.26684472,78,899,0.010532001,0.380448582,1,1,0,XGBoost
D8,1,1,32,0,0.004320821,0,0.004320821,0,0.4,DecisionTree
D7,0.975529101,0.975529101,2533,63,0.342019984,0.026661024,0.346340805,0.026661024,32,DecisionTree
D6,0.888888889,0.949740035,980,77,0.132325142,0.032585696,0.478665947,0.05924672,41.9,DecisionTree
D5,0.794871795,0.858339149,969,172,0.13083986,0.072788828,0.609505806,0.132035548,47.7,DecisionTree
D4,0.76959707,0.76959707,919,282,0.124088577,0.119339822,0.733594383,0.25137537,48.2,DecisionTree
D3,0.66772655,0.66772655,543,290,0.073318931,0.122725349,0.806913314,0.374100719,43.3,DecisionTree
D2,0.295081967,0.632762836,1146,637,0.1547394,0.269572577,0.961652714,0.643673297,31.8,DecisionTree
D1,0.017857143,0.283269962,284,842,0.038347286,0.356326703,1,1,0,DecisionTree
D10,0.858487855,0.988006037,744,233,0.100459087,0.09860347,0.100459087,0.09860347,0.2,Logistic
D9,0.825579075,0.858454837,764,213,0.1031596,0.090139653,0.203618688,0.188743123,1.5,Logistic
D8,0.805776026,0.825563041,751,226,0.101404267,0.095641134,0.305022954,0.284384257,2.1,Logistic
D7,0.789588376,0.805753431,737,240,0.099513908,0.101565806,0.404536862,0.385950063,1.9,Logistic
D6,0.774264569,0.789538177,775,201,0.104644883,0.085061363,0.509181745,0.471011426,3.8,Logistic
D5,0.755536218,0.77425469,794,183,0.10721037,0.077443927,0.616392115,0.548455353,6.8,Logistic
D4,0.732929278,0.755520782,825,152,0.111396165,0.064325011,0.72778828,0.612780364,11.5,Logistic
D3,0.697789031,0.732918748,823,154,0.111126114,0.065171392,0.838914394,0.677951756,16.1,Logistic
D2,0.560524303,0.697778345,871,106,0.117607345,0.044858231,0.956521739,0.722809987,23.4,Logistic
D1,2.95E-15,0.560356397,322,655,0.043478261,0.277190013,1,1,0,Logistic
D10,0.96541859,0.977213894,976,1,0.131785039,0.000423191,0.131785039,0.000423191,13.1,RandomForest
D9,0.940657127,0.965379135,975,2,0.131650014,0.000846382,0.263435053,0.001269573,26.2,RandomForest
D8,0.925853763,0.940656154,964,13,0.130164731,0.005501481,0.393599784,0.006771054,38.7,RandomForest
D7,0.895439691,0.92584028,948,29,0.128004321,0.012272535,0.521604105,0.019043589,50.3,RandomForest
D6,0.825350697,0.895403369,870,106,0.11747232,0.044858231,0.639076425,0.06390182,57.5,RandomForest
D5,0.688219678,0.824906331,781,196,0.105455036,0.082945408,0.744531461,0.146847228,59.8,RandomForest
D4,0.641671213,0.68819969,726,251,0.098028625,0.106220906,0.842560086,0.253068134,58.9,RandomForest
D3,0.597049521,0.641655824,627,349,0.084661086,0.14769361,0.927221172,0.400761744,52.6,RandomForest
D2,0.469335881,0.597036166,424,553,0.057250878,0.234024545,0.98447205,0.634786289,35,RandomForest
D1,0.202848835,0.469202482,115,863,0.01552795,0.365213711,1,1,0,RandomForest
D10,0.998613308,0.999989979,977,0,0.131920065,0,0.131920065,0,13.2,LightGBM
D9,0.992528151,0.998612958,974,3,0.131514988,0.001269573,0.263435053,0.001269573,26.2,LightGBM
D8,0.981712162,0.992526727,967,10,0.130569808,0.004231909,0.394004861,0.005501481,38.9,LightGBM
D7,0.963678134,0.98171019,957,20,0.129219552,0.008463817,0.523224413,0.013965298,50.9,LightGBM
D6,0.916869199,0.963651003,920,56,0.124223602,0.023698688,0.647448015,0.037663986,61,LightGBM
D5,0.821810124,0.916828394,843,134,0.113826627,0.056707575,0.761274642,0.094371562,66.7,LightGBM
D4,0.675622428,0.821802691,719,258,0.097083446,0.109183242,0.858358088,0.203554803,65.5,LightGBM
D3,0.511059151,0.675420466,582,395,0.078584931,0.167160389,0.936943019,0.370715193,56.6,LightGBM
D2,0.267509098,0.510367386,386,591,0.052119903,0.250105798,0.989062922,0.62082099,36.8,LightGBM
D1,0.000358957,0.26746771,81,896,0.010937078,0.37917901,1,1,0,LightGBM