Algorithm,Data,Accuracy,F1 Score,Precission,Recall,Kappa,AUC
XGBClassifier,Train,0.881712882,0.924231353,0.900098533,0.949693889,0.655566079,0.940744443
XGBClassifier,Test,0.861705395,0.911264368,0.887197851,0.936672968,0.599066766,0.919538224
DecisionTreeClassifier,Train,0.815505441,0.887761911,0.825269217,0.960494398,0.386085191,0.823696278
DecisionTreeClassifier,Test,0.815948408,0.887821313,0.825214567,0.960707534,0.391562379,0.822329523
LogisticRegression,Train,0.798745174,0.879470268,0.80677819,0.966558854,0.298844276,0.580642079
LogisticRegression,Test,0.794656567,0.877128507,0.802690583,0.966783689,0.283897472,0.569123193
RandomForestClassifier,Train,0.846612847,0.905605357,0.85031944,0.96858034,0.50567473,0.90100842
RandomForestClassifier,Test,0.845531784,0.904812969,0.849058837,0.968403997,0.504506589,0.896655147
LGBMClassifier,Train,0.87969463,0.923115747,0.897057221,0.95073351,0.64777302,0.939835275
LGBMClassifier,Test,0.862114853,0.91183978,0.884796139,0.940588712,0.596919255,0.92002107